ticker,name,adress,industry
06N,06MAGNA,https://www.biznesradar.pl/notowania/06N,Działalność inwestycyjna
08N,08OCTAVA,https://www.biznesradar.pl/notowania/OCTAVA,Nieruchomości
11B,11BIT,https://www.biznesradar.pl/notowania/11-BIT-STUDIOS,Gry
1AT,ATAL,https://www.biznesradar.pl/notowania/ATAL,Nieruchomości
3RG,3RGAMES,https://www.biznesradar.pl/notowania/3RG,Gry
4MS,4MASS,https://www.biznesradar.pl/notowania/4MS,Odzież i kosmetyki
AAT,ALTA,https://www.biznesradar.pl/notowania/AAT,Nieruchomości
ABE,ABPL,https://www.biznesradar.pl/notowania/ABE,Handel hurtowy
ABS,ASSECOBS,https://www.biznesradar.pl/notowania/ASSECO-BUSINESS-SOLUTIONS,Informatyka
ACG,ACAUTOGAZ,https://www.biznesradar.pl/notowania/ACG,Motoryzacja
ACP,ASSECOPOL,https://www.biznesradar.pl/notowania/ASSECO-POLAND,Informatyka
ACT,ACTION,https://www.biznesradar.pl/notowania/ACTION,Handel hurtowy
ADV,ADIUVO,https://www.biznesradar.pl/notowania/ADIUVO-INVESTMENT,Sprzęt i materiały medyczne
AGO,AGORA,https://www.biznesradar.pl/notowania/AGORA,Media
AGT,AGROTON,https://www.biznesradar.pl/notowania/AGROTON,Artykuły spożywcze
ALE,ALLEGRO,https://www.biznesradar.pl/notowania/ALE,Handel internetowy
ALG,AIGAMES,https://www.biznesradar.pl/notowania/ALG,Gry
ALI,ALTUS,https://www.biznesradar.pl/notowania/ALTUS,Rynek kapitałowy
ALL,AILLERON,https://www.biznesradar.pl/notowania/ALL,Informatyka
ALR,ALIOR,https://www.biznesradar.pl/notowania/ALIOR-BANK,Banki
AMB,AMBRA,https://www.biznesradar.pl/notowania/AMBRA,Artykuły spożywcze
AMC,AMICA,https://www.biznesradar.pl/notowania/AMICA,Wyposażenie domu
ANR,ANSWEAR,https://www.biznesradar.pl/notowania/ANR,Handel internetowy
APE,APSENERGY,https://www.biznesradar.pl/notowania/APS-ENERGIA,Przemysł elektromaszynowy
APN,APLISENS,https://www.biznesradar.pl/notowania/APLISENS,Przemysł elektromaszynowy
APR,AUTOPARTN,https://www.biznesradar.pl/notowania/APR,Motoryzacja
APT,APATOR,https://www.biznesradar.pl/notowania/APATOR,Przemysł elektromaszynowy
ARH,ARCHICOM,https://www.biznesradar.pl/notowania/ARH,Nieruchomości
ARL,ARLEN,https://www.biznesradar.pl/notowania/ARL,Odzież i kosmetyki
ART,ARTIFEX,https://www.biznesradar.pl/notowania/ARTIFEX,Gry
ASB,ASBIS,https://www.biznesradar.pl/notowania/ASBISC,Handel hurtowy
ASE,ASSECOSEE,https://www.biznesradar.pl/notowania/ASSECO-SOUTH-EASTERN-EUROPE,Informatyka
AST,ASTARTA,https://www.biznesradar.pl/notowania/ASTARTA,Artykuły spożywcze
ATC,ARCTIC,https://www.biznesradar.pl/notowania/ARCTIC-PAPER,Drewno i papier
ATD,ATENDE,https://www.biznesradar.pl/notowania/ATENDE,Informatyka
ATG,ATMGRUPA,https://www.biznesradar.pl/notowania/ATM-GRUPA,Media
ATP,ATLANTAPL,https://www.biznesradar.pl/notowania/ATLANTA-POLAND,Artykuły spożywcze
ATR,ATREM,https://www.biznesradar.pl/notowania/ATREM,Budownictwo
ATS,ATLANTIS,https://www.biznesradar.pl/notowania/ATS,Działalność inwestycyjna
ATT,GRUPAAZOTY,https://www.biznesradar.pl/notowania/ATT,Chemia
AWM,AIRWAY,https://www.biznesradar.pl/notowania/AIRWAY-MEDIX,Sprzęt i materiały medyczne
B24,BRAND24,https://www.biznesradar.pl/notowania/B24,Informatyka
BBD,BBIDEV,https://www.biznesradar.pl/notowania/BBI-DEVELOPMENT,Nieruchomości
BBT,BOOMBIT,https://www.biznesradar.pl/notowania/BBT,Gry
BCM,BETACOM,https://www.biznesradar.pl/notowania/BETACOM,Informatyka
BCS,BIGCHEESE,https://www.biznesradar.pl/notowania/BCS,Gry
BCX,BIOCELTIX,https://www.biznesradar.pl/notowania/BCX,Biotechnologia
BDX,BUDIMEX,https://www.biznesradar.pl/notowania/BUDIMEX,Budownictwo
BFT,BENEFIT,https://www.biznesradar.pl/notowania/BENEFIT-SYSTEMS,Rekreacja i wypoczynek
BHW,HANDLOWY,https://www.biznesradar.pl/notowania/BANK-HANDLOWY,Banki
BIO,BIOTON,https://www.biznesradar.pl/notowania/BIOTON,Produkcja leków
BIP,BIOPLANET,https://www.biznesradar.pl/notowania/BIO-PLANET,Sieci handlowe
BLO,BLOOBER,https://www.biznesradar.pl/notowania/BLOOBER-TEAM,Gry
BMC,BUMECH,https://www.biznesradar.pl/notowania/BUMECH,Przemysł elektromaszynowy
BMX,BIOMAXIMA,https://www.biznesradar.pl/notowania/BIOMAXIMA,Biotechnologia
BNP,BNPPPL,https://www.biznesradar.pl/notowania/BNP,Banki
BOS,BOS,https://www.biznesradar.pl/notowania/BANK-OCHRONY-SRODOWISKA,Banki
BOW,BOWIM,https://www.biznesradar.pl/notowania/BOWIM,Zaopatrzenie przedsiębiorstw
BRS,BORYSZEW,https://www.biznesradar.pl/notowania/BORYSZEW,Hutnictwo
BST,BEST,https://www.biznesradar.pl/notowania/BEST,Wierzytelności
CAP,CAPITEA,https://www.biznesradar.pl/notowania/CAP,Wierzytelności
CAR,INTERCARS,https://www.biznesradar.pl/notowania/INTER-CARS,Motoryzacja
CAV,CAVATINA,https://www.biznesradar.pl/notowania/CAV,Nieruchomości
CBF,CYBERFLKS,https://www.biznesradar.pl/notowania/CBF,Nowe technologie
CCC,CCC,https://www.biznesradar.pl/notowania/CCC,Odzież i kosmetyki
CDL,CDRL,https://www.biznesradar.pl/notowania/CDL,Odzież i kosmetyki
CDR,CDPROJEKT,https://www.biznesradar.pl/notowania/CD-PROJEKT,Gry
CEZ,CEZ,https://www.biznesradar.pl/notowania/CEZ,Energia
CIG,CIGAMES,https://www.biznesradar.pl/notowania/CI-GAMES,Gry
CLC,COLUMBUS,https://www.biznesradar.pl/notowania/COLUMBUS-CAPITAL,Energia
CLD,CLOUD,https://www.biznesradar.pl/notowania/CLOUD-TECHNOLOGIES,Nowe technologie
CLE,COALENERG,https://www.biznesradar.pl/notowania/COAL-ENERGY,Górnictwo
CLN,CLNPHARMA,https://www.biznesradar.pl/notowania/CLNPHARMA,Produkcja leków
CMP,COMP,https://www.biznesradar.pl/notowania/COMP,Informatyka
COG,COGNOR,https://www.biznesradar.pl/notowania/COGNOR,Hutnictwo
CPA,CAPITAL,https://www.biznesradar.pl/notowania/CAPITAL-PARTNERS,Działalność inwestycyjna
CPD,CELTIC,https://www.biznesradar.pl/notowania/CPD,Nieruchomości
CPL,COMPERIA,https://www.biznesradar.pl/notowania/COMPERIA-PL,Media
CPR,COMPREMUM,https://www.biznesradar.pl/notowania/CPR,Budownictwo
CPS,CYFRPLSAT,https://www.biznesradar.pl/notowania/CYFROWY-POLSAT,Telekomunikacja
CRI,CREOTECH,https://www.biznesradar.pl/notowania/CRI,Nowe technologie
CRJ,CREEPYJAR,https://www.biznesradar.pl/notowania/CRJ,Gry
CRM,CORMAY,https://www.biznesradar.pl/notowania/CORMAY,Produkcja leków
CSR,CASPAR,https://www.biznesradar.pl/notowania/CASPAR-ASSET-MANAGEMENT,Rynek kapitałowy
CTS,CITYSERV,https://www.biznesradar.pl/notowania/CTS,Usługi dla przedsiębiorstw
CTX,CAPTORTX,https://www.biznesradar.pl/notowania/CTX,Biotechnologia
CZT,CZTOREBKA,https://www.biznesradar.pl/notowania/CZERWONA-TOREBKA,Nieruchomości
DAD,DADELO,https://www.biznesradar.pl/notowania/DAD,Handel internetowy
DAT,DATAWALK,https://www.biznesradar.pl/notowania/DAT,Informatyka
DBC,DEBICA,https://www.biznesradar.pl/notowania/DEBICA,Motoryzacja
DBE,DBENERGY,https://www.biznesradar.pl/notowania/DBE,Budownictwo
DCR,DECORA,https://www.biznesradar.pl/notowania/DECORA,Budownictwo
DEK,DEKPOL,https://www.biznesradar.pl/notowania/DEKPOL,Budownictwo
DEL,DELKO,https://www.biznesradar.pl/notowania/DELKO,Handel hurtowy
DGA,DGA,https://www.biznesradar.pl/notowania/DGA,Usługi dla przedsiębiorstw
DGE,DRAGOENT,https://www.biznesradar.pl/notowania/DGE,Gry
DIA,DIAG,https://www.biznesradar.pl/notowania/DIA,Pozostałe
DIG,DIGITANET,https://www.biznesradar.pl/notowania/DIG,Media
DMG,DMGROUP,https://www.biznesradar.pl/notowania/DMG,Odzież i kosmetyki
DNP,DINOPL,https://www.biznesradar.pl/notowania/DNP,Sieci handlowe
DOM,DOMDEV,https://www.biznesradar.pl/notowania/DOM-DEVELOPMENT,Nieruchomości
DTR,DIGITREE,https://www.biznesradar.pl/notowania/DTR,Informatyka
DVL,DEVELIA,https://www.biznesradar.pl/notowania/DVL,Nieruchomości
EAH,ESOTIQ,https://www.biznesradar.pl/notowania/ESOTIQ-HENDERSON,Odzież i kosmetyki
EAT,AMREST,https://www.biznesradar.pl/notowania/EAT,Rekreacja i wypoczynek
ECB,ECBSA,https://www.biznesradar.pl/notowania/ELEKTROCIEPLOWNIA-BEDZIN,Energia
ECH,ECHO,https://www.biznesradar.pl/notowania/ECHO-INVESTMENT,Nieruchomości
EDI,EDINVEST,https://www.biznesradar.pl/notowania/ED-INVEST,Nieruchomości
EKP,ELKOP,https://www.biznesradar.pl/notowania/EKP,Nieruchomości
ELT,ELEKTROTI,https://www.biznesradar.pl/notowania/ELEKTROTIM,Budownictwo
ENA,ENEA,https://www.biznesradar.pl/notowania/ENA,Energia
ENE,ENELMED,https://www.biznesradar.pl/notowania/ENEL-MED,Szpitale i przychodnie
ENG,ENERGA,https://www.biznesradar.pl/notowania/ENERGA,Energia
ENI,ENERGOINS,https://www.biznesradar.pl/notowania/ENERGOINSTAL,Budownictwo
ENT,ENTER,https://www.biznesradar.pl/notowania/ENT,Transport i logistyka
EQU,EQUNICO,https://www.biznesradar.pl/notowania/EQU,Budownictwo
ERB,ERBUD,https://www.biznesradar.pl/notowania/ERBUD,Budownictwo
ETL,EUROTEL,https://www.biznesradar.pl/notowania/EUROTEL,Sieci handlowe
EUC,EUCO,https://www.biznesradar.pl/notowania/EUROPEJSKIE-CENTRUM-ODSZKODOWAN,Ubezpieczenia
EUR,EUROCASH,https://www.biznesradar.pl/notowania/EUROCASH,Sieci handlowe
FAB,FABRITY,https://www.biznesradar.pl/notowania/FAB,Informatyka
FEE,FEERUM,https://www.biznesradar.pl/notowania/FEERUM,Przemysł elektromaszynowy
FMG,FMG,https://www.biznesradar.pl/notowania/FMG,Działalność inwestycyjna
FRO,FERRO,https://www.biznesradar.pl/notowania/FERRO,Budownictwo
FSG,FASING,https://www.biznesradar.pl/notowania/FASING,Przemysł elektromaszynowy
FTE,FORTE,https://www.biznesradar.pl/notowania/FORTE,Wyposażenie domu
GEA,GRENEVIA,https://www.biznesradar.pl/notowania/GRENEVIA,Przemysł elektromaszynowy
GIF,GAMFACTOR,https://www.biznesradar.pl/notowania/GIF,Gry
GIG,GIGROUP,https://www.biznesradar.pl/notowania/GIG,Usługi dla przedsiębiorstw
GKI,IMMOBILE,https://www.biznesradar.pl/notowania/GKI,Działalność inwestycyjna
GMT,GENOMTEC,https://www.biznesradar.pl/notowania/GMT,Biotechnologia
GOB,GOBARTO,https://www.biznesradar.pl/notowania/GOBARTO,Artykuły spożywcze
GOP,GAMEOPS,https://www.biznesradar.pl/notowania/GOP,Gry
GPP,GRUPRACUJ,https://www.biznesradar.pl/notowania/GPP,Media
GPW,GPW,https://www.biznesradar.pl/notowania/GPW,Rynek kapitałowy
GRN,GRODNO,https://www.biznesradar.pl/notowania/GRODNO,Zaopatrzenie przedsiębiorstw
GRX,GREENX,https://www.biznesradar.pl/notowania/GRX,Górnictwo
GTC,GTC,https://www.biznesradar.pl/notowania/GTC,Nieruchomości
GTN,GETIN,https://www.biznesradar.pl/notowania/GETIN-HOLDING,Banki
HDR,HYDROTOR,https://www.biznesradar.pl/notowania/HYDROTOR,Przemysł elektromaszynowy
HEL,HELIO,https://www.biznesradar.pl/notowania/HELIO,Artykuły spożywcze
HRP,HARPER,https://www.biznesradar.pl/notowania/HARPER-HYGIENICS,Odzież i kosmetyki
HRS,HERKULES,https://www.biznesradar.pl/notowania/HERKULES,Budownictwo
HUG,HUUUGE,https://www.biznesradar.pl/notowania/HUG,Gry
IBS,IBSM,https://www.biznesradar.pl/notowania/IBSM,Nieruchomości
ICE,MEDINICE,https://www.biznesradar.pl/notowania/ICE,Pozostałe
IFI,IFIRMA,https://www.biznesradar.pl/notowania/IFI,Informatyka
IMC,IMCOMPANY,https://www.biznesradar.pl/notowania/INDUSTRIAL-MILK-COMPANY,Artykuły spożywcze
IMP,IMPERIO,https://www.biznesradar.pl/notowania/IMP,Działalność inwestycyjna
IMS,IMS,https://www.biznesradar.pl/notowania/IMS,Media
INC,INC,https://www.biznesradar.pl/notowania/INC,Działalność inwestycyjna
ING,INGBSK,https://www.biznesradar.pl/notowania/ING-BANK-SLASKI,Banki
INK,INSTALKRK,https://www.biznesradar.pl/notowania/INSTAL-KRAKOW,Budownictwo
INL,INTROL,https://www.biznesradar.pl/notowania/INTROL,Przemysł elektromaszynowy
INP,INPRO,https://www.biznesradar.pl/notowania/INPRO,Nieruchomości
IPE,IPOPEMA,https://www.biznesradar.pl/notowania/IPOPEMA,Rynek kapitałowy
IPO,INTERSPPL,https://www.biznesradar.pl/notowania/INTERSPPL,Odzież i kosmetyki
ITB,INTERBUD,https://www.biznesradar.pl/notowania/INTERBUD-LUBLIN,Nieruchomości
IZB,IZOBLOK,https://www.biznesradar.pl/notowania/IZOBLOK,Guma i tworzywa sztuczne
IZO,IZOLACJA,https://www.biznesradar.pl/notowania/IZOLACJA-JAROCIN,Budownictwo
IZS,IZOSTAL,https://www.biznesradar.pl/notowania/IZOSTAL,Przemysł elektromaszynowy
JRH,JRH,https://www.biznesradar.pl/notowania/JRH,Działalność inwestycyjna
JSW,JSW,https://www.biznesradar.pl/notowania/JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,Górnictwo
JWW,JWWINVEST,https://www.biznesradar.pl/notowania/JWW-INVEST,Przemysł elektromaszynowy
KCH,KRAKCHEM,https://www.biznesradar.pl/notowania/KRAKCHEMIA,Zaopatrzenie przedsiębiorstw
KCI,KCI,https://www.biznesradar.pl/notowania/KCI,Media
KER,KERNEL,https://www.biznesradar.pl/notowania/KERNEL,Artykuły spożywcze
KGH,KGHM,https://www.biznesradar.pl/notowania/KGHM,Górnictwo
KGL,KGL,https://www.biznesradar.pl/notowania/KGL,Zaopatrzenie przedsiębiorstw
KGN,KOGENERA,https://www.biznesradar.pl/notowania/KOGENERACJA,Energia
