Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Gotówka i operacje z bankami centralnymi,Należności od banków,Aktywa finansowe przeznaczone do obrotu,Pochodne instrumenty zabezpieczające,Należności od klientów,Inwestycyjne aktywa finansowe,Inwestycje w podmioty stowarzyszone,Wartości niematerialne,Rzeczowy majątek trwały,Aktywa z tytułu odroczonego podatku dochodowego netto,Pozostałe aktywa,Zobowiązania wobec banku centralnego,Zobowiązania wobec banków,Zobowiązania finansowe przeznaczone do obrotu,Zobowiązania wobec klientów,Zobowiązania z tytułu emisji dłużnych pap. wart.,Zobowiązania podporządkowane,Zobowiązania z tytułu bieżącego podatku dochodowego,Pozostałe pasywa,Zobowiązania razem,Kapitały własne,Kapitał akcyjny,Pozostałe kapitały,Kapitał z aktualizacji wyceny,Zyski zatrzymane,Wynik roku bieżącego,Kapitały razem
06N,2004,,110071.0,84.0,,73623.0,,143.0,33721.0,2500.0,190552.0,2472.0,32063.0,156017.0,84402.0,0.0,0.0,300623.0,204533.0,3006.0,5866.0,193682.0,29199.0,0.0,24267.0,34782.0,481.0,0.0,0.0,66891.0,7361.0,0.0,300623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2005,,103523.0,1644.0,,75013.0,,0.0,26386.0,480.0,209064.0,3926.0,6727.0,147790.0,122145.0,0.0,50621.0,312587.0,208041.0,3554.0,5866.0,248579.0,30355.0,0.0,8043.0,30111.0,2000.0,0.0,0.0,74191.0,34037.0,0.0,312587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2006,,31.0,2.0,,29.0,,0.0,0.0,0.0,189982.0,0.0,16.0,63154.0,60059.0,0.0,126812.0,190013.0,92357.0,3554.0,142018.0,247460.0,26798.0,0.0,9031.0,0.0,0.0,0.0,0.0,70858.0,61827.0,0.0,190013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2007,,16.0,0.0,,16.0,,0.0,0.0,0.0,45072.0,0.0,6.0,10437.0,9418.0,0.0,34629.0,45088.0,8127.0,1284.0,58265.0,61361.0,0.0,0.0,5879.0,0.0,0.0,0.0,0.0,36961.0,31082.0,0.0,45088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2008,,35019.0,13608.0,0.0,20699.0,,0.0,0.0,712.0,64126.0,339.0,57002.0,6784.0,6237.0,1.0,0.0,99145.0,38644.0,1284.0,0.0,34526.0,0.0,4308.0,46404.0,6203.0,0.0,604.0,0.0,56193.0,2982.0,0.0,99145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2009,,95492.0,55681.0,22447.0,38022.0,,643.0,683.0,463.0,53090.0,773.0,44240.0,8077.0,2993.0,0.0,0.0,148582.0,49109.0,8674.0,0.0,32637.0,25924.0,31008.0,23426.0,9668.0,1347.0,1312.0,1936.0,42541.0,6788.0,0.0,148582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2010,,78922.0,40051.0,20324.0,34933.0,,915.0,1135.0,1888.0,23043.0,660.0,15311.0,7072.0,3929.0,0.0,0.0,101965.0,21789.0,8674.0,0.0,32637.0,13187.0,9299.0,17267.0,6820.0,23157.0,1471.0,4484.0,57690.0,8975.0,0.0,101965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2011,,52441.0,21777.0,20324.0,28971.0,,792.0,297.0,604.0,53890.0,541.0,16883.0,17882.0,3841.0,0.0,18584.0,106331.0,16778.0,8674.0,0.0,3165.0,12853.0,10116.0,18927.0,1211.0,35146.0,1292.0,718.0,66584.0,10008.0,0.0,106331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2012,,12549.0,1846.0,0.0,10140.0,,0.0,0.0,563.0,93652.0,120.0,13866.0,19214.0,270.0,0.0,60452.0,106201.0,5745.0,13922.0,0.0,9825.0,3107.0,595.0,15089.0,511.0,20736.0,149.0,595.0,96754.0,60269.0,0.0,106201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2013,,18704.0,5680.0,5680.0,3882.0,,0.0,9005.0,137.0,56183.0,0.0,1173.0,54636.0,1095.0,0.0,374.0,74887.0,71825.0,13922.0,0.0,87657.0,0.0,632.0,1289.0,1.0,0.0,263.0,0.0,2430.0,877.0,0.0,74887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
