Spółka,Rok,Data publikacji,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,EBITDA,Przychody odsetkowe,Koszty odsetkowe,Wynik z tytułu odsetek,Przychody prowizyjne,Koszty prowizyjne,Wynik z tytułu prowizji,Przychody z tytułu dywidend,Wynik handlowy i rewaluacja,Wynik na pozostałych instrumentach finansowych,Odpisy netto z tytułu utraty wartości kredytów,Ogólne koszty administracyjne,Wynik operacyjny,Udział w zyskach jednostek podporządkowanych
06N,2004,,167714.0,152958.0,0.0,0.0,14756.0,0.0,0.0,14756.0,0.0,0.0,0.0,14756.0,0.0,14756.0,0.0,12695.0,8361.0,18135.0,,,,,,,,,,,,,
06N,2005,,7788.0,8678.0,0.0,0.0,-890.0,0.0,0.0,-890.0,0.0,0.0,0.0,-890.0,0.0,-890.0,1194.0,2315.0,2784.0,-815.0,,,,,,,,,,,,,
06N,2006,,5900.0,13194.0,0.0,0.0,-7294.0,20.0,42.0,-7316.0,0.0,0.0,0.0,-7316.0,0.0,-7316.0,35143.0,26742.0,22978.0,-7282.0,,,,,,,,,,,,,
06N,2007,,8313.0,5979.0,0.0,0.0,2334.0,216.0,114.0,2436.0,0.0,0.0,0.0,2436.0,0.0,2436.0,-11948.0,-9512.0,-7115.0,2449.0,,,,,,,,,,,,,
06N,2008,,176739.0,153030.0,5462.0,14984.0,3263.0,10749.0,4194.0,9818.0,1964.0,877.0,0.0,10905.0,0.0,10905.0,0.0,8608.0,8608.0,16492.0,,,,,,,,,,,,,
06N,2009,,191118.0,158287.0,6608.0,18835.0,7388.0,2713.0,4402.0,5699.0,762.0,5152.0,0.0,1309.0,0.0,1309.0,0.0,1845.0,218.0,16929.0,,,,,,,,,,,,,
06N,2010,,99936.0,95732.0,3637.0,18554.0,-17987.0,11775.0,30590.0,-36802.0,957.0,3616.0,0.0,-39461.0,0.0,-39461.0,0.0,-39698.0,-27290.0,-26373.0,,,,,,,,,,,,,
06N,2011,,72733.0,62665.0,1487.0,10391.0,-1810.0,4093.0,2688.0,-405.0,1662.0,6241.0,0.0,-4984.0,0.0,-4984.0,0.0,-5533.0,-5184.0,5995.0,,,,,,,,,,,,,
06N,2012,,55468.0,50673.0,1278.0,6352.0,-2835.0,2780.0,1659.0,-1714.0,2069.0,5474.0,5827.0,708.0,0.0,708.0,332.0,936.0,858.0,4397.0,,,,,,,,,,,,,
06N,2013,,0.0,0.0,0.0,6609.0,-6609.0,208.0,768.0,-7169.0,11995.0,1938.0,726.0,3614.0,0.0,3614.0,-11562.0,-8044.0,-4293.0,-3921.0,,,,,,,,,,,,,
06N,2014,,2543.0,1993.0,0.0,4554.0,-4004.0,678.0,600.0,-3926.0,3591.0,20186.0,-5.0,-20526.0,0.0,-20526.0,0.0,-19796.0,-19796.0,-3143.0,,,,,,,,,,,,,
06N,2016,,3142.0,3636.0,0.0,3960.0,-4454.0,384.0,387.0,-4457.0,2078.0,24965.0,0.0,-27344.0,0.0,-27344.0,0.0,-27026.0,-27026.0,-3803.0,,,,,,,,,,,,,
06N,2017,,2350.0,1894.0,0.0,2571.0,-2115.0,713.0,178.0,-1580.0,4421.0,1335.0,-10.0,1496.0,0.0,1496.0,0.0,1669.0,1669.0,-882.0,,,,,,,,,,,,,
06N,2018,,6445.0,3981.0,1047.0,3329.0,-1912.0,1221.0,623.0,-1314.0,1524.0,5713.0,-389.0,-5892.0,0.0,-5892.0,0.0,-4880.0,-4798.0,-123.0,,,,,,,,,,,,,
06N,2019,,5145.0,3300.0,533.0,3276.0,-1964.0,3292.0,130.0,1198.0,2225.0,1253.0,26.0,2196.0,0.0,2196.0,0.0,1999.0,1605.0,1800.0,,,,,,,,,,,,,
06N,2020,,7774.0,3000.0,1529.0,3543.0,-298.0,6876.0,310.0,6268.0,1874.0,1376.0,-16.0,6750.0,0.0,6750.0,0.0,4891.0,3824.0,7143.0,,,,,,,,,,,,,
06N,2021,,5943.0,2978.0,1815.0,4062.0,-2912.0,5372.0,1112.0,1348.0,2297.0,1285.0,-97.0,2263.0,0.0,2263.0,0.0,1929.0,1192.0,2212.0,,,,,,,,,,,,,
06N,2022,,6284.0,1296.0,1968.0,5516.0,-2496.0,1307.0,1246.0,-2435.0,3564.0,2787.0,63.0,-1595.0,0.0,-1595.0,0.0,-634.0,-585.0,-1611.0,,,,,,,,,,,,,
