Nazwa,Ticker,Kwartały,Data,Przychody ze sprzedaży,Zysk ze sprzedaży,Zysk operacyjny (EBIT),Zysk z działalności gospodarczej,Zysk przed opodatkowaniem,Zysk netto,EBITDA,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki
06MAGNA,06N,2005/Q4,2006-02-14,-9702.0,-283.0,-283.0,-2457.0,-2457.0,-785.0,,62.0,69.22,0.9,0.93,66.94,2.59,23.93,-0.3,,44.87,1.38,32.04,12.37,-118.18,-108.22,1.34,0.89,-11.43,35.75,-11.43,-11.43,,-0.28,6.28,3.7,0.24,0.36,,,,,0.35,0.71,-73599000.0,90.31,-90034000.0,110.47,2.01,2.01,1.65,2.77,2.82,1.99,0.09,0.43,15.68,0.42,868.0,2920.0,1.49,245.0,0.04,0.07,0.03,1113.0,-1807.0
06MAGNA,06N,2006/Q1,2006-05-15,1150.0,-667.0,-667.0,-667.0,-667.0,633.0,,69.0,69.5,0.99,0.86,79.89,-4.08,,-0.6,,45.11,1.53,43.16,,-51.48,-72.08,1.24,0.85,14.68,-21.17,14.68,14.68,,-0.59,7.64,11.65,0.22,0.32,,,,,0.33,0.67,-76836000.0,30.49,-77652000.0,30.81,2.01,2.01,1.6,2.93,3.0,2.13,0.13,0.44,-13.92,-0.74,-496.0,-1975.0,-1.76,-207.0,-0.06,-0.11,-0.04,-703.0,1272.0
06MAGNA,06N,2006/Q2,2006-08-14,2799.0,1539.0,1539.0,1539.0,1539.0,3707.0,,76.0,70.47,1.08,1.14,66.93,0.47,160.75,-0.45,,77.74,0.98,29.79,63.01,-39.6,-66.57,1.61,1.06,-94.65,240.18,-94.65,-374.52,,-0.42,5.95,,0.25,0.38,,,,,0.25,5.79,-63315000.0,28.0,-138888000.0,61.43,22.72,22.72,1.77,3.85,3.93,1.79,0.11,0.72,63.46,0.12,3118.0,17994.0,0.48,755.0,0.01,0.02,0.0,3873.0,-14121.0
06MAGNA,06N,2006/Q3,2006-11-14,18282.0,17507.0,17507.0,17507.0,17507.0,20167.0,,88.0,31.5,2.79,8.03,10.96,4.17,21.11,6.02,14.62,46.12,1.91,79.93,19.18,13.31,13.28,25.49,9.95,144.43,192.65,144.43,127.08,,7.46,39.45,,0.35,0.88,0.05,4.04,4.93,0.41,0.38,1.77,46372000.0,2.57,-24249000.0,-1.34,4.71,4.93,0.38,2.71,2.81,0.47,0.1,0.59,-25.94,1.58,230.0,2194.0,-1.02,-358.0,0.05,0.21,0.04,-128.0,-2322.0
06MAGNA,06N,2006/Q4,2007-03-01,-16331.0,-25673.0,-25695.0,-25695.0,-25695.0,2235.0,,97.6,30.73,3.18,7.65,12.77,1.96,49.72,-2.43,,39.63,2.46,77.62,39.54,-32.04,-31.89,24.88,12.09,-124.0,389.46,-123.63,-124.0,,-3.85,83.15,,0.37,0.77,,,,,0.37,1111.18,7704000.0,-1.06,-60059000.0,8.25,2979.26,2979.26,0.85,2.68,2.68,0.89,0.0,0.63,9.05,0.95,385.0,4607.0,2.94,124.0,0.03,0.18,0.02,509.0,-4098.0
06MAGNA,06N,2007/Q1,2007-05-15,572.0,-121.0,-121.0,-121.0,-121.0,-612.0,,97.7,71.64,1.36,17.08,5.72,4.14,23.57,-5.27,,92.3,1.06,63.77,15.39,-12.15,-12.1,23.84,11.89,-127.21,412.03,-126.79,-127.21,,-3.67,80.29,,0.36,0.72,,,,,0.36,1315.44,11359000.0,-1.69,-43567000.0,6.46,3679.76,3679.76,0.66,2.8,2.8,0.83,0.0,0.64,9.84,1.32,278.0,5074.0,3.6,101.0,0.02,0.72,0.02,379.0,-4695.0
06MAGNA,06N,2007/Q2,2007-08-14,795.0,126.0,126.0,126.0,126.0,1420.0,,103.9,70.72,1.47,16.87,6.16,2.58,40.21,-6.37,,71.9,1.45,51.34,19.87,-8.08,-8.06,23.86,17.0,-246.62,653.01,-245.96,-246.62,,-6.42,255.84,,0.28,0.39,,,,,0.28,1137.07,-52442000.0,6.43,-67491000.0,8.28,4127.77,4127.77,1.92,3.63,3.63,2.49,0.0,0.72,8.06,1.71,213.0,6907.0,6.08,60.0,0.02,0.66,0.02,273.0,-6634.0
06MAGNA,06N,2007/Q3,2007-11-14,6341.0,2312.0,2312.0,2312.0,2312.0,-3881.0,,100.0,71.0,1.41,-1.01,,-6.72,,-18.21,,72.15,1.39,40.99,,-2.25,-2.25,-1.42,-1.06,271.11,15.05,270.86,271.11,,-19.12,-8.66,,0.24,0.33,,,,,0.24,1104.78,-53209000.0,2.28,-75770000.0,3.24,4558.6,4558.6,2.56,4.13,4.13,2.8,0.0,0.76,6.3,-131.15,-3.0,-2133.0,,,-0.06,-351.96,-0.06,,
06MAGNA,06N,2007/Q4,2009-04-02,605.0,17.0,119.0,119.0,119.0,-6439.0,,33.3,6.33,5.26,-5.54,,6.47,5.14,1.9,17.55,6.32,5.27,25.97,4.01,13.61,13.69,-87.55,-15.78,29.3,-85.59,28.08,29.3,,5.4,-56.94,,0.82,4.55,,,,,0.82,416.53,26524000.0,10.83,-9418000.0,-3.85,507.94,507.94,0.25,1.22,1.22,0.28,0.0,0.18,1.36,131.43,3.0,1840.0,,,0.07,400.63,0.07,,
06MAGNA,06N,2008/Q1,2009-05-15,666.0,298.0,270.0,270.0,270.0,-614.0,,30.5,5.45,5.6,-5.61,,6.55,4.66,2.2,13.85,5.43,5.61,26.94,4.11,12.2,12.24,-103.09,-19.44,33.63,-85.75,32.75,33.63,,7.62,-22.0,,0.81,4.3,,,,,0.81,378.45,25522000.0,9.0,-4572000.0,-1.61,466.2,466.2,0.15,1.23,1.23,0.15,0.0,0.19,1.24,230.33,2.0,1430.0,,,0.1,460.66,0.1,,
