Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
06N,2025/Q1,"7,04","0,40","0,06","47,78","1,54","1,85","-0,24",,"3,90","0,73","2,46","1,60","40,94","-10,37","0,85%","0,75%","-15,42%","3,87%","-16,05%","1,72%","35,31%","-3,01%","236,86%","-1 666,05%","0,07","0,08","0,00","4,04","2,05","0,90","0,12","0,25",-47 035 000,"-56,19",-5 339 000,"-6,38","2,04","2,05","0,97","8,71","8,73","7,70","1,01","0,50","5,63","3,18",115,109,"107,07",3,"0,31","0,52","0,20",118,9,2025-05-01
11B,2025/Q1,"92,50","2,13","0,88","224,41","59,04","3,34","-1,73",,"20,09","9,80","170,52","2,89","21,35","-98,70","0,95%","0,83%","-2,93%","1,49%","45,09%","-1,47%",,"-1,64%","2,77%","63,74%","0,12","0,14","0,02","6,14","1,30","0,89","0,40","0,51",-37 838 000,"-1,96",-64 009 000,"-3,32","1,28","1,30","2,52","2,92","2,92","2,53","0,34","0,21","0,96","6,13",60,82,"1 521,83",0,"1,80","0,72","0,51",,,2025-05-01
1AT,2025/Q1,"40,64","1,43","5,00","11,63","28,54","2,04","5,83","9,96","36,12","1,61","82,08","2,88","13,83","14,07","12,30%","5,05%","20,44%","17,51%","20,23%","21,65%","24,95%","5,89%","-34,19%",,"0,59","1,44","0,56","0,01","14,05","0,64","0,62","5,55",2 395 869 000,"9,34",1 036 182 000,"4,04","8,98","14,05","0,08","0,16","2,67","0,08","0,08","0,60","2,77","11,12",33,378,"0,28",1 315,"0,34","6,41","0,32",1 348,970,2025-05-01
3RG,2025/Q1,"0,23","2,77","-0,01",,"0,04","16,97","-0,01",,"0,03","20,66","0,62","16,76","-66,92","-66,92","-3,96%","-3,84%","-25,05%","-24,24%","-14,58%","-24,24%",,"-3,97%","90,94%",,"0,03","0,03",,,,,"0,19","0,22",-42 000,"0,06",-603 000,"0,82","1,15","1,15","1,07","1,82","5,31","1,07","0,73","0,13","0,72","9,81",37,54,"1,90",192,"0,92","0,19","0,16",229,175,2025-05-01
4MB,2025/Q1,"0,43","6,86","0,00","736,53","2,31","1,29","0,01","420,87","0,35","8,43","2,98","1,29","210,41","420,82","0,93%","0,32%","0,31%","0,18%","-0,08%","0,18%",,"0,56%","1,62%",,"0,65","1,89",,,,,"0,70","3,40",4 063 000,"58,04",-2 000,"-0,03","4,87","4,87","0,00","1,42","1,43","0,00","0,75","0,28","0,15","3,99",92,102,,,"2,30","28,31","2,12",,,2025-05-01
4MS,2025/Q1,"2,95","2,10","0,65","9,56","5,18","1,20","0,78","7,92","1,68","3,70","6,26","1,21","6,65","7,99","22,01%","16,73%","15,15%","12,55%","16,27%","13,95%",,"20,21%","158,87%","72,55%","0,19","0,25","0,10","4,68","2,35","0,84","0,30","0,61",10 251 000,"0,45",1 281 000,"0,06","2,01","2,21","0,70","1,14","5,54","0,70","0,87","0,51","0,47","12,32",30,34,"2,65",138,"2,15","3,64","1,35",168,134,2025-05-01
7FT,2025/Q1,"3,93","1,71","0,63","10,59","15,42","0,43","0,93","7,18","3,32","2,02","8,00","0,52","7,41","8,57","16,11%","7,61%","6,05%","4,10%","6,42%","5,25%",,"11,22%","457,26%","11,38%","0,53","1,12","0,06","2,64","6,80","0,50","0,57","3,66",7 001 000,"3,62",2 328 000,"1,20","6,43","6,79","0,12","0,72","1,85","0,12","0,60","0,43","0,25","7,34",50,82,"3,42",107,"2,31","23,42","2,11",157,75,2025-05-01
7LV,2025/Q1,"0,25","32,40","0,14","58,68","5,14","1,57","0,21","37,47","-0,06",,"7,88","1,53","29,86","36,69","55,21%","6,37%","4,18%","2,67%","4,18%","3,75%",,"9,97%","-36,93%","49,00%","0,84","7,26",,,,,"1,04","0,62",1 212 000,"5,94",-130 000,"-0,64","0,60","0,60","0,13","0,55","0,96","0,13","0,46","-0,03","-0,01","8,95",41,121,"24,18",15,"4,87","30,87","4,20",56,-65,2025-05-01
AAS,2025/Q1,"-1,27",,"-2,28",,"0,00",,"-0,22",,"-1,29",,"12,04",,"-54,39","-54,39","178,73%","-489,45%",,,,,,"-47,55%","594,58%",,"3,74","-1,37","-0,01",,"-82,82","-2,71","3,86","-323,77",1 997 000,"-6,24",1 497 000,"-4,68","-83,77","-82,82","0,02","0,26","0,26","0,21","0,05","-2,74","-3,76",,,,,,,,,,,2025-05-01
AAT,2025/Q1,"13,61","0,16","0,11","18,83","0,03","64,24","0,11","18,96","0,19","11,42","2,20","66,11","19,26","19,51","0,83%","0,83%","338,77%","341,07%","-599,62%","341,07%",,"0,82%","-68,90%",,"0,01","0,01","0,00","5,67","1,01","0,99","0,45","0,46",1 779 000,"1,00",972 000,"0,54","1,01","1,01","0,02","2,23","2,23","0,26","1,97","0,01","0,81","0,09",3 898,1 131,,,"0,08","0,00","0,00",,,2025-05-01
ABE,2025/Q2,"89,07","1,26","10,50","10,67","917,46","0,12","16,80","6,67","68,34","1,64","114,88","0,13","6,32","6,84","11,78%","4,58%","1,83%","1,14%","1,80%","1,46%","3,94%","7,33%","98,84%","10,44%","0,61","1,58","0,12","0,88","4,82","0,44","0,67","2,89",2 082 030 000,"7,08",46 553 000,"0,16","4,30","4,82","0,09","0,80","1,61","0,09","0,71","0,35","0,09","9,14",40,56,"8,49",43,"4,23","42,48","3,85",83,27,2025-08-01
ABK,2025/Q1,"1,95","1,75","0,38","9,12","5,96","0,57","0,59","5,84","0,62","5,53","3,53","0,59","4,76","6,03","19,21%","10,83%","9,82%","6,30%","9,93%","7,79%",,"16,89%","60,65%",,"0,35","0,62","0,30","0,87","1,74","0,74","0,66","0,78",895 000,"0,45",290 000,"0,15","1,19","1,55","1,05","2,49","3,00","1,43","1,48","0,35","0,23","7,58",48,40,,,"3,51","3,61","1,78",,,2025-05-01
ABS,2025/Q1,"12,48","5,56","3,57","19,42","13,08","5,31","3,82","18,16","0,61","113,99","68,98","5,27","13,73","18,05","28,63%","22,37%","29,21%","27,32%","29,07%","29,21%","43,24%","23,92%","71,27%","127,55%","0,22","0,28","0,10","2,15","1,16","0,86","0,85","0,89",51 460 000,"0,31",-13 981 000,"-0,08","1,05","1,16","0,87","1,88","1,88","0,89","0,94","0,12","0,31","6,79",54,82,"1 111,27",0,"3,72","1,10","0,85",,,2025-05-01
ACG,2025/Q1,"16,48","1,97","2,82","11,51","24,86","1,30","3,26","9,93","8,29","3,91","32,04","1,29","7,02","9,82","17,08%","11,55%","13,13%","11,33%","13,47%","12,42%","33,13%","13,39%","99,79%","75,07%","0,25","0,37","0,00","255,73","1,83","0,68","0,42","0,70",51 144 000,"1,22",-3 321 000,"-0,08","1,64","1,65","0,07","0,60","2,38","0,08","0,69","0,34","0,54","6,69",55,92,"1,92",190,"1,82","2,46","1,05",245,153,2025-05-01
ACP,2025/Q1,"66,63","2,37","6,40","24,70","210,35","0,75","22,19","7,12","-14,87",,"167,03","0,79","5,18","7,53","9,60%","2,67%","10,55%","3,04%","10,55%","9,95%","23,03%","9,28%","21,88%","81,87%","0,52","1,88","0,65","0,50","0,86","0,46","1,13","0,59",7 319 900 000,"2,73",749 400 000,"0,28","0,52","0,86","0,44","1,29","1,35","0,45","0,73","0,12","0,19","3,60",101,132,"40,53",9,"2,00","1,66","0,91",110,-22,2025-05-01
ACT,2025/Q1,"22,99","0,86","1,99","9,98","156,14","0,13","2,24","8,86","14,38","1,38","18,46","0,12","6,58","8,23","8,67%","5,03%","1,44%","1,28%","1,27%","1,53%","8,51%","5,66%","-519,05%",,"0,42","0,72","0,11","2,98","2,95","0,64","0,54","1,42",246 948 000,"5,33",-23 432 000,"-0,51","2,65","2,95","0,12","0,68","2,21","0,12","0,56","0,43","0,12","18,66",20,29,"7,57",48,"4,99","18,14","3,91",68,39,2025-05-01
ADV,2025/Q1,"-2,49",,"-0,08",,"0,03","35,39","-0,12",,"-2,90",,"3,12","90,24","-28,70","-25,31","3,28%","-11,56%","-356,58%","-235,53%","-237,72%","89,04%",,"-17,50%","33,85%",,"4,68","-1,33","-0,04","0,18","-7,91","-3,38","8,17","-67,53",43 323 000,"-30,21",25 011 000,"-17,44","-8,26","-7,91","0,00","0,12","0,13","0,00","0,02","-3,96","-27,30","0,73",498,27 785,"50,91",7,"0,26","0,42","0,16",505,-27 280,2025-05-01
ADX,2025/Q1,"0,24","1,21","0,03","10,93","0,28","1,04","0,04","7,91","0,30","0,97","0,54","1,92","15,93","14,59","11,04%","4,27%","13,15%","9,52%","8,65%","12,42%",,"5,90%","-68,93%","1,68%","0,49","1,26","0,98","0,04","31,63","0,77","0,50","6,92",95 296 000,"8,79",79 050 000,"7,30","13,75","27,22","0,13","-0,78","8,83","0,13","0,21","0,86","2,08","23,36",16,192,"0,46",789,"0,48","1,22","0,34",805,613,2025-05-01
AFC,2025/Q1,"-0,12",,"-0,09",,"0,02","13,16","-0,02",,"-0,00",,"0,90","59,29","-45,52","-43,33","76,48%","-9,09%","-136,84%","-594,74%","-144,74%","-622,37%",,"-2,09%","195,67%","100,00%","0,97","-8,17",,,,,"1,00","-3,69",1 819 000,"-18,37",3 506 000,"-35,41","-3,67","-3,67",,"0,84","1,00","0,62","0,37","-0,00","-0,11","0,04",8 582,22 546,,,"0,02","0,53","0,02",,,2025-05-01
AFH,2025/Q1,"-30,79",,"-0,67",,"40,13","0,06","-0,56",,"-30,71",,"30,52","0,76","-61,28","-54,38","2,19%","-15,40%","-1,40%","-1,68%","-1,71%","-2,34%",,"-12,83%","-1 005,78%",,"7,71","-1,10","-0,49","0,01","-10,68","-3,56","11,21","-252,26",298 898 000,"-66,36",253 378 000,"-56,26","-22,50","-11,39","0,01","0,11","0,16","0,04","0,10","-3,55","-0,38","14,20",26,164,"11 444,12",0,"9,90","26,05","7,17",,,2025-05-01
AGL,2025/Q1,"70,96","0,39","-3,69",,"155,34","0,18","0,42","66,79","-19,06",,"53,27","0,34","7,64","127,96","-5,20%","-2,61%","0,27%","-2,38%","1,34%","-1,18%","6,24%","0,29%","-24,51%","83,56%","0,46","0,91","0,20","6,74","0,89","0,60","1,42","1,05",93 811 406,"8,75",39 161 304,"3,65","0,74","0,89","0,08","0,55","0,90","0,08","0,47","-0,04","-0,04","6,92",53,115,"6,80",54,"3,23","1,63","1,08",107,-8,2025-05-01
AGO,2025/Q1,"14,67","0,70","0,13","78,45","31,00","0,33","1,68","6,11","-19,52",,"25,97","0,84","4,67","15,49","0,89%","0,30%","5,41%","0,42%","4,87%","1,68%","36,00%","3,91%","2,44%","70,52%","0,65","1,91","1,13","1,10","0,91","0,73","3,30","1,41",1 160 635 000,"4,48",732 676 000,"2,83","0,43","0,91","0,26","0,69","0,74","0,27","0,42","-0,07","-0,19","6,03",61,134,"32,02",11,"3,71","0,90","0,72",72,-62,2025-05-01
AGP,2025/Q1,"3,15","1,33","-0,30",,"7,76","0,54","-0,26",,"2,09","2,00","5,00","0,64","-34,23","-19,56","-9,67%","-5,93%","-3,29%","-3,92%","-3,39%","-5,11%",,"-4,98%","-14,59%","108,63%","0,37","0,60","0,08","4,35","3,04","0,66","0,47","1,30",5 907 000,"-12,41",2 665 000,"-5,60","2,74","2,96","0,05","0,32","2,43","0,05","0,31","0,46","0,30","15,24",24,103,"1,97",185,"1,67","6,63","1,33",209,106,2025-05-01
AGT,2023/Q4,"17,90","0,14","0,00",,"0,00",,"0,00",,"14,97","0,17","2,18",,,,,,,,,,,,,,"0,03","0,03",,,,,"0,03","0,21",-77 216 505,,-7 488 305,,"6,00","6,00","0,68","24,81","29,13","7,70","9,67","0,81",,,,,,,,,,,,2024-02-01
AIN,2025/Q1,"0,80","0,98","-0,40",,"0,00",,"-0,07",,"0,65","1,20","0,76",,"-10,86","-10,86","-49,88%","-48,11%",,,,,,"-8,45%","2 622,31%",,"0,03","0,03",,,,,"0,03","0,18",-4 847 000,"8,70",-189 000,"0,34","5,31","5,31","1,04","29,20","29,82","27,78","1,70","0,79","10,52",,,,"8,27",44,,,,,,2025-05-01
