Ticker,Nazwa,Kwartały,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji
06N,06MAGNA,2004/Q4,"27,20%",
06N,06MAGNA,2005/Q4,"6,28%","3,70%"
06N,06MAGNA,2006/Q1,"7,64%","11,65%"
06N,06MAGNA,2006/Q2,"5,95%",
06N,06MAGNA,2006/Q3,"39,45%",
06N,06MAGNA,2006/Q4,"83,15%",
06N,06MAGNA,2007/Q1,"80,29%",
06N,06MAGNA,2007/Q2,"255,84%",
06N,06MAGNA,2007/Q3,"-8,66%",
06N,06MAGNA,2007/Q4,"-56,94%",
06N,06MAGNA,2008/Q1,"-22,00%",
06N,06MAGNA,2008/Q2,"-39,90%",
06N,06MAGNA,2008/Q3,"11,15%","-13,00%"
06N,06MAGNA,2008/Q4,"54,89%","63,01%"
06N,06MAGNA,2009/Q1,"66,07%","32,58%"
06N,06MAGNA,2009/Q2,"59,08%","252,68%"
06N,06MAGNA,2009/Q3,"48,62%","79,51%"
06N,06MAGNA,2009/Q4,"3,35%","112,94%"
06N,06MAGNA,2010/Q1,"-64,04%","127,53%"
06N,06MAGNA,2010/Q2,"-180,86%","139,99%"
06N,06MAGNA,2010/Q3,"-235,08%","-294,20%"
06N,06MAGNA,2010/Q4,"503,78%",
06N,06MAGNA,2011/Q1,"191,72%","147,10%"
06N,06MAGNA,2011/Q2,"164,65%","215,31%"
06N,06MAGNA,2011/Q3,"387,23%","130,20%"
06N,06MAGNA,2011/Q4,"-79,77%","87,59%"
06N,06MAGNA,2012/Q1,"13,16%","88,52%"
06N,06MAGNA,2012/Q2,"5 848,00%","101,79%"
06N,06MAGNA,2012/Q3,"-16,47%","96,17%"
06N,06MAGNA,2012/Q4,"25,91%","107,42%"
06N,06MAGNA,2013/Q1,"-70,36%","107,47%"
06N,06MAGNA,2013/Q2,"723,60%",
06N,06MAGNA,2013/Q3,"1 408,60%",
06N,06MAGNA,2013/Q4,"685,78%",
06N,06MAGNA,2014/Q1,"538,16%",
06N,06MAGNA,2014/Q2,"37 236,22%","-1 890,60%"
06N,06MAGNA,2014/Q3,"2 619,29%","-1 552,43%"
06N,06MAGNA,2014/Q4,"512,85%",
06N,06MAGNA,2015/Q1,"265,94%",
06N,06MAGNA,2016/Q4,"4 716,58%",
06N,06MAGNA,2017/Q1,"1 464,12%",
06N,06MAGNA,2017/Q2,"2 252,72%",
06N,06MAGNA,2017/Q3,"2 635,32%",
06N,06MAGNA,2017/Q4,"-93,61%",
06N,06MAGNA,2018/Q1,"-126,62%",
06N,06MAGNA,2018/Q2,"-71,27%",
06N,06MAGNA,2018/Q3,"-98,22%",
06N,06MAGNA,2018/Q4,"373,09%","77,04%"
06N,06MAGNA,2019/Q1,"234,62%","207,19%"
06N,06MAGNA,2019/Q2,"419,05%","-26,47%"
06N,06MAGNA,2019/Q3,"-8 102,50%","66,49%"
06N,06MAGNA,2019/Q4,"-139,81%","58,33%"
06N,06MAGNA,2020/Q1,"170,99%","70,50%"
06N,06MAGNA,2020/Q2,"157,70%","74,30%"
06N,06MAGNA,2020/Q3,"432,16%","99,39%"
06N,06MAGNA,2020/Q4,"118,24%","60,84%"
06N,06MAGNA,2021/Q1,"401,59%","64,97%"
06N,06MAGNA,2021/Q2,"-57,01%","175,67%"
06N,06MAGNA,2021/Q3,"-64,98%","66,03%"
06N,06MAGNA,2021/Q4,"-62,05%","-58,69%"
06N,06MAGNA,2022/Q1,"-57,53%",
06N,06MAGNA,2022/Q2,"-0,83%",
06N,06MAGNA,2022/Q3,"-631,76%",
06N,06MAGNA,2022/Q4,"43,37%",
06N,06MAGNA,2023/Q1,"68,41%",
06N,06MAGNA,2023/Q2,"-3 766,68%",
06N,06MAGNA,2023/Q3,"82,04%","30,34%"
06N,06MAGNA,2023/Q4,"103,54%","65,35%"
06N,06MAGNA,2024/Q1,"109,06%","77,76%"
06N,06MAGNA,2024/Q2,"1,48%","86,48%"
06N,06MAGNA,2024/Q3,"-7,81%","-144,80%"
06N,06MAGNA,2024/Q4,"-12 206,45%","-2 718,78%"
06N,06MAGNA,2025/Q1,"236,86%","-1 666,05%"
OCTAVA,08OCTAVA,2004/Q4,"-9,13%",
OCTAVA,08OCTAVA,2005/Q4,"118,40%",
OCTAVA,08OCTAVA,2006/Q1,"1,00%",
OCTAVA,08OCTAVA,2006/Q2,"3,75%",
OCTAVA,08OCTAVA,2006/Q3,"4,48%",
OCTAVA,08OCTAVA,2006/Q4,"-0,26%",
OCTAVA,08OCTAVA,2007/Q1,"0,38%",
OCTAVA,08OCTAVA,2007/Q2,"0,69%",
OCTAVA,08OCTAVA,2007/Q3,"-100,33%",
OCTAVA,08OCTAVA,2007/Q4,"-107,77%",
OCTAVA,08OCTAVA,2008/Q1,"-135,43%",
OCTAVA,08OCTAVA,2008/Q2,"-194,71%",
OCTAVA,08OCTAVA,2008/Q3,"424,40%",
OCTAVA,08OCTAVA,2008/Q4,"-120,48%",
OCTAVA,08OCTAVA,2009/Q1,"-58,91%",
OCTAVA,08OCTAVA,2009/Q2,"-35,61%",
OCTAVA,08OCTAVA,2009/Q3,"43,66%",
OCTAVA,08OCTAVA,2009/Q4,"-91,58%",
OCTAVA,08OCTAVA,2010/Q1,"-109,46%",
OCTAVA,08OCTAVA,2010/Q2,"-304,38%",
OCTAVA,08OCTAVA,2010/Q3,"-355,66%",
OCTAVA,08OCTAVA,2010/Q4,"106,78%",
OCTAVA,08OCTAVA,2011/Q1,"181,42%",
OCTAVA,08OCTAVA,2011/Q2,"74,21%",
OCTAVA,08OCTAVA,2011/Q3,"29,09%",
OCTAVA,08OCTAVA,2011/Q4,"109,34%",
OCTAVA,08OCTAVA,2012/Q1,"108,96%",
OCTAVA,08OCTAVA,2012/Q2,"79,40%",
OCTAVA,08OCTAVA,2012/Q3,"172,25%",
OCTAVA,08OCTAVA,2012/Q4,"14,83%",
OCTAVA,08OCTAVA,2013/Q1,"11,28%",
OCTAVA,08OCTAVA,2013/Q2,"73,39%",
OCTAVA,08OCTAVA,2013/Q3,"16,66%",
OCTAVA,08OCTAVA,2013/Q4,"-265,21%",
OCTAVA,08OCTAVA,2014/Q1,"263,47%",
OCTAVA,08OCTAVA,2014/Q2,"64,58%",
OCTAVA,08OCTAVA,2014/Q3,"223,91%",
OCTAVA,08OCTAVA,2014/Q4,"10,07%",
OCTAVA,08OCTAVA,2015/Q1,"21,48%",
OCTAVA,08OCTAVA,2015/Q2,"13,39%",
OCTAVA,08OCTAVA,2015/Q3,"12,96%",
OCTAVA,08OCTAVA,2015/Q4,"78,12%",
OCTAVA,08OCTAVA,2016/Q1,"35,18%",
OCTAVA,08OCTAVA,2016/Q2,"-16,93%",
OCTAVA,08OCTAVA,2016/Q3,"-10,25%",
OCTAVA,08OCTAVA,2016/Q4,"-8,17%",
OCTAVA,08OCTAVA,2017/Q1,"-7,75%",
OCTAVA,08OCTAVA,2017/Q2,"-34,77%",
OCTAVA,08OCTAVA,2017/Q3,"-35,38%",
OCTAVA,08OCTAVA,2017/Q4,"-3,54%",
OCTAVA,08OCTAVA,2018/Q1,"-30,23%",
