Nazwa,Ticker,Kwartały,Data,Przychody ze sprzedaży,Zysk ze sprzedaży,Zysk operacyjny (EBIT),Zysk z działalności gospodarczej,Zysk przed opodatkowaniem,Zysk netto,EBITDA
06MAGNA,06N,2005/Q1,2005-05-16,21 199,243,243,243,243,615,
06MAGNA,06N,2005/Q2,2005-08-16,-10 883,1 084,1 084,5 061,5 061,2 787,
06MAGNA,06N,2005/Q3,2005-11-14,7 174,-1 934,-1 934,-3 737,-3 737,-302,
06MAGNA,06N,2005/Q4,2006-02-14,-9 702,-283,-283,-2 457,-2 457,-785,
06MAGNA,06N,2006/Q1,2006-05-15,1 150,-667,-667,-667,-667,633,
06MAGNA,06N,2006/Q2,2006-08-14,2 799,1 539,1 539,1 539,1 539,3 707,
06MAGNA,06N,2006/Q3,2006-11-14,18 282,17 507,17 507,17 507,17 507,20 167,
06MAGNA,06N,2006/Q4,2007-03-01,-16 331,-25 673,-25 695,-25 695,-25 695,2 235,
06MAGNA,06N,2007/Q1,2007-05-15,572,-121,-121,-121,-121,-612,
06MAGNA,06N,2007/Q2,2007-08-14,795,126,126,126,126,1 420,
06MAGNA,06N,2007/Q3,2007-11-14,6 341,2 312,2 312,2 312,2 312,-3 881,
06MAGNA,06N,2007/Q4,2009-04-02,605,17,119,119,119,-6 439,
06MAGNA,06N,2008/Q1,2009-05-15,666,298,270,270,270,-614,
06MAGNA,06N,2008/Q2,2009-08-31,61 414,-277,2 231,1 638,1 638,2 508,
06MAGNA,06N,2008/Q3,2009-11-13,50 741,3 937,8 740,9 140,9 140,5 565,
06MAGNA,06N,2008/Q4,2010-03-22,63 918,-695,-1 423,-143,-143,1 149,
06MAGNA,06N,2009/Q1,2010-05-17,56 635,1 971,1 269,3 229,3 229,2 592,
06MAGNA,06N,2009/Q2,2010-08-31,51 883,3 566,2 987,757,757,1 019,
06MAGNA,06N,2009/Q3,2010-11-15,48 735,1 703,1 634,-2 482,-2 482,-1 816,
06MAGNA,06N,2009/Q4,2011-03-21,33 865,148,-191,-195,-195,50,
06MAGNA,06N,2010/Q1,2011-05-16,27 601,-3 872,-5 155,-5 928,-5 928,-5 967,
06MAGNA,06N,2010/Q2,2011-08-31,31 689,-4 455,-4 881,-5 827,-5 827,-6 173,
06MAGNA,06N,2010/Q3,2011-11-14,24 194,-3 556,-2 994,-3 348,-3 348,-3 494,
06MAGNA,06N,2010/Q4,2011-03-21,16 452,-6 104,-23 772,-24 358,-24 358,-24 064,
06MAGNA,06N,2011/Q1,2011-05-16,17 500,-1 317,-1 154,-1 787,-1 787,-2 188,
06MAGNA,06N,2011/Q2,2011-08-31,17 850,-512,1 410,756,756,853,
06MAGNA,06N,2011/Q3,2011-11-14,19 290,1 297,2 107,897,897,601,
06MAGNA,06N,2011/Q4,2012-03-20,18 093,-1 278,-2 768,-4 850,-4 850,-4 799,
06MAGNA,06N,2012/Q1,2012-05-15,18 396,-433,-243,4 568,4 568,4 279,
06MAGNA,06N,2012/Q2,2012-08-31,19 626,1 272,452,-4 188,-4 188,-3 823,
06MAGNA,06N,2012/Q3,2012-11-14,19 642,991,2 445,2 178,2 178,1 532,
06MAGNA,06N,2012/Q4,2013-03-21,-2 196,-4 665,-4 368,-1 850,-1 850,-1 052,
06MAGNA,06N,2013/Q1,2013-05-15,0,-1 052,-1 058,-1 360,-1 360,-2 453,
06MAGNA,06N,2013/Q2,2013-08-30,0,-1 130,-1 157,59 194,59 194,51 146,
06MAGNA,06N,2013/Q3,2013-11-14,0,-931,-1 439,-63 684,-63 684,-62 643,
06MAGNA,06N,2013/Q4,2014-11-14,0,-3 496,-3 515,9 464,9 464,5 906,
06MAGNA,06N,2014/Q1,2015-02-13,459,-842,-290,-14 446,-14 446,-14 293,
06MAGNA,06N,2014/Q2,2015-05-29,413,-988,-1 074,-1 596,-1 596,-1 549,
06MAGNA,06N,2014/Q3,2015-08-13,606,-432,-388,301,301,297,
06MAGNA,06N,2014/Q4,2016-03-18,1 065,-1 742,-2 174,-4 785,-4 785,-4 251,
06MAGNA,06N,2015/Q1,2016-05-13,2 786,-1 006,-1 005,-1 349,-1 349,-1 188,
06MAGNA,06N,2016/Q1,2016-05-13,2 786,-1 006,-1 005,-1 349,-1 349,-1 188,
06MAGNA,06N,2016/Q2,2016-09-30,-259,-1 552,-1 534,-1 848,-1 848,-1 675,
06MAGNA,06N,2016/Q3,2016-11-29,292,-816,-816,301,301,122,
06MAGNA,06N,2016/Q4,2017-04-28,323,-1 080,-1 102,-24 448,-24 448,-24 285,
06MAGNA,06N,2017/Q1,2017-05-29,137,-558,-423,-501,-501,-399,
06MAGNA,06N,2017/Q2,2017-09-29,120,-454,-372,-280,-280,-263,
06MAGNA,06N,2017/Q3,2017-11-29,137,-231,-292,-254,-254,-194,
06MAGNA,06N,2017/Q4,2018-04-27,1 956,-872,-493,2 531,2 531,2 525,
06MAGNA,06N,2018/Q1,2018-05-29,1 714,-377,-120,156,156,182,
06MAGNA,06N,2018/Q2,2018-09-28,1 337,-941,-697,-670,-670,-551,
06MAGNA,06N,2018/Q3,2018-11-29,1 389,-227,-147,-57,-57,-3,
06MAGNA,06N,2018/Q4,2019-04-11,2 005,-367,-350,-5 321,-5 321,-4 508,
06MAGNA,06N,2019/Q1,2019-05-29,1 493,-20,18,-19,-19,47,
06MAGNA,06N,2019/Q2,2019-09-26,1 126,-554,615,673,673,548,
06MAGNA,06N,2019/Q3,2019-11-28,1 228,-522,652,979,979,1 000,
06MAGNA,06N,2019/Q4,2020-04-16,1 298,-868,-87,563,563,404,
06MAGNA,06N,2020/Q1,2020-05-28,1 177,-675,3 343,3 393,3 393,2 483,
06MAGNA,06N,2020/Q2,2020-09-24,1 107,-694,-151,-140,-140,188,
06MAGNA,06N,2020/Q3,2020-11-27,1 360,-323,244,531,531,443,
06MAGNA,06N,2020/Q4,2021-04-26,4 130,1 394,2 832,2 966,2 966,1 777,
06MAGNA,06N,2021/Q1,2021-05-27,1 223,-846,-704,-573,-573,-641,
06MAGNA,06N,2021/Q2,2021-09-15,1 221,-1 003,1 269,1 763,1 763,1 479,
06MAGNA,06N,2021/Q3,2021-11-26,1 369,-783,404,550,550,499,
06MAGNA,06N,2021/Q4,2022-04-28,2 130,-280,379,523,523,592,
06MAGNA,06N,2022/Q1,2022-05-25,1 362,-699,-594,-457,-457,-413,
06MAGNA,06N,2022/Q2,2022-09-23,1 455,-1 074,-782,-604,-604,-582,
06MAGNA,06N,2022/Q3,2022-11-25,1 591,-354,-602,-538,-538,-433,
06MAGNA,06N,2022/Q4,2023-04-20,1 876,-369,-457,4,4,794,
06MAGNA,06N,2023/Q1,2023-05-24,1 529,-538,-750,-547,-547,-691,
06MAGNA,06N,2023/Q2,2023-09-26,1 376,-884,88 226,88 417,88 417,71 571,
06MAGNA,06N,2023/Q3,2023-11-24,1 983,-437,-1 865,-779,-779,-525,
06MAGNA,06N,2023/Q4,2024-04-22,2 215,-698,-4 289,-2 674,-2 674,-1 910,
06MAGNA,06N,2024/Q1,2024-05-24,2 790,-1 378,3 883,5 239,5 239,5 195,
06MAGNA,06N,2024/Q2,2024-09-26,4 884,-1 523,-1 513,-399,-399,-437,
06MAGNA,06N,2024/Q3,2024-11-22,5 367,-809,-758,-159,-159,-21,
06MAGNA,06N,2024/Q4,2025-04-25,6 111,-937,-897,166,166,341,
06MAGNA,06N,2025/Q1,2025-05-26,5 071,-172,-137,760,760,686,
08OCTAVA,08N,2004,2005-02-11,4 458,-12 519,-12 519,-11 789,-11 789,-10 902,
08OCTAVA,08N,2005,2006-03-01,853,-5 017,-5 017,-4 972,-4 972,-1 686,
08OCTAVA,08N,2006,2007-03-01,6 834,1 486,1 486,1 612,1 612,1 612,
08OCTAVA,08N,2007,2008-02-28,480 071,468 381,468 381,468 309,468 309,377 805,
08OCTAVA,08N,2008,2009-02-27,-5 887,-23 435,-23 435,-41 359,-41 359,-44 444,
08OCTAVA,08N,2009,2010-03-18,-66 651,-78 855,-78 855,-101 736,-101 736,-81 647,
08OCTAVA,08N,2010,2011-03-17,60 054,45 159,45 159,22 733,22 733,15 774,
08OCTAVA,08N,2011,2012-02-03,347 688,344 124,344 124,344 015,344 015,340 949,
08OCTAVA,08N,2012,2013-03-11,27 894,22 692,22 590,22 348,22 348,20 082,
08OCTAVA,08N,2013,2014-03-14,14 976,-7 571,-7 075,-6 717,-6 717,-6 717,
08OCTAVA,08N,2014,2015-03-12,6 116,2 866,3 072,2 950,2 950,2 268,
08OCTAVA,08N,2015,2016-03-17,19 570,3 287,3 611,3 689,3 689,2 964,
08OCTAVA,08N,2016,2017-03-16,4 358,2 082,2 866,2 203,2 203,1 627,
08OCTAVA,08N,2017,2018-03-15,6 335,4 490,5 674,1 123,1 123,168,
08OCTAVA,08N,2018,2019-03-28,3 869,-4 948,-3 446,-424,-424,230,
08OCTAVA,08N,2019,2020-03-26,-2 978,-6 543,-4 116,-3 134,-3 134,-2 641,
