Nazwa,Ticker,Kwartały,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT
06MAGNA,06N,2004/Q4,"57,50","68,05","0,85","2,78","20,67","55,80","1,03","4,91","11,71","41,14","1,40","41,15","0,74","6,82","8,38"
06MAGNA,06N,2005/Q4,"62,00","69,22","0,90","0,93","66,94","2,59","23,93","-0,30",,"44,87","1,38","32,04","12,37","-118,18","-108,22"
06MAGNA,06N,2006/Q1,"69,00","69,50","0,99","0,86","79,89","-4,08",,"-0,60",,"45,11","1,53","43,16",,"-51,48","-72,08"
06MAGNA,06N,2006/Q2,"76,00","70,47","1,08","1,14","66,93","0,47","160,75","-0,45",,"77,74","0,98","29,79","63,01","-39,60","-66,57"
06MAGNA,06N,2006/Q3,"88,00","31,50","2,79","8,03","10,96","4,17","21,11","6,02","14,62","46,12","1,91","79,93","19,18","13,31","13,28"
06MAGNA,06N,2006/Q4,"97,60","30,73","3,18","7,65","12,77","1,96","49,72","-2,43",,"39,63","2,46","77,62","39,54","-32,04","-31,89"
06MAGNA,06N,2007/Q1,"97,70","71,64","1,36","17,08","5,72","4,14","23,57","-5,27",,"92,30","1,06","63,77","15,39","-12,15","-12,10"
06MAGNA,06N,2007/Q2,"103,90","70,72","1,47","16,87","6,16","2,58","40,21","-6,37",,"71,90","1,45","51,34","19,87","-8,08","-8,06"
06MAGNA,06N,2007/Q3,"100,00","71,00","1,41","-1,01",,"-6,72",,"-18,21",,"72,15","1,39","40,99",,"-2,25","-2,25"
06MAGNA,06N,2007/Q4,"33,30","6,33","5,26","-5,54",,"6,47","5,14","1,90","17,55","6,32","5,27","25,97","4,01","13,61","13,69"
06MAGNA,06N,2008/Q1,"30,50","5,45","5,60","-5,61",,"6,55","4,66","2,20","13,85","5,43","5,61","26,94","4,11","12,20","12,24"
06MAGNA,06N,2008/Q2,"20,90","21,74","0,96","-6,13",,"53,76","0,39","3,84","5,44","-4,34",,"26,98","0,50","5,51","7,02"
06MAGNA,06N,2008/Q3,"21,00","29,49","0,71","1,20","17,56","88,33","0,24","8,85","2,37","-0,54",,"27,04","0,31","2,44","3,06"
06MAGNA,06N,2008/Q4,"17,20","30,10","0,57","6,70","2,57","137,64","0,13","7,65","2,25","2,82","6,09","21,00","0,15","1,64","2,75"
06MAGNA,06N,2009/Q1,"13,90","6,31","2,20","1,23","11,29","26,83","0,52","1,25","11,15","1,19","11,68","14,32","0,53","6,35","11,49"
06MAGNA,06N,2009/Q2,"13,30","6,38","2,09","1,02","13,02","25,73","0,52","1,33","9,97","-1,66",,"14,23","0,55","5,70","10,66"
06MAGNA,06N,2009/Q3,"14,40","5,70","2,53","0,19","75,24","25,50","0,56","0,52","27,96","-1,60",,"17,48","0,69","9,44","33,94"
06MAGNA,06N,2009/Q4,"11,10","5,66","1,96","0,03","441,64","22,03","0,50","0,66","16,89","-2,36",,"15,18","0,69","7,78","23,11"
06MAGNA,06N,2010/Q1,"11,10","5,18","2,14","-0,64",,"18,69","0,59","-0,08",,"-2,80",,"14,46","0,77","10,82","-173,00"
06MAGNA,06N,2010/Q2,"7,90","4,66","1,70","-1,23",,"16,36","0,48","-0,99",,"-2,45",,"11,90","0,73","24,31","-12,01"
06MAGNA,06N,2010/Q3,"8,60","4,37","1,97","-1,33",,"13,53","0,64","-1,52",,"-3,16",,"12,34","0,91","-66,40","-8,10"
06MAGNA,06N,2010/Q4,"8,00","2,51","3,18","-3,15",,"11,52","0,69","-4,24",,"-5,07",,"11,56","1,00","-3,80","-2,72"
06MAGNA,06N,2011/Q1,"6,80","2,48","2,74","-2,87",,"10,36","0,66","-3,78",,"-6,49",,"12,45","1,20","-4,55","-3,29"
06MAGNA,06N,2011/Q2,"5,40","2,44","2,21","-2,37",,"8,76","0,62","-3,06",,"-5,85",,"11,43","1,31","-5,21","-3,74"
06MAGNA,06N,2011/Q3,"2,00","2,34","0,86","-2,09",,"8,20","0,24","-2,47",,"-4,72",,"7,01","0,86","-4,27","-2,84"
06MAGNA,06N,2011/Q4,"3,20","1,93","1,65","-0,60",,"8,39","0,38","-0,05",,"-2,63",,"7,90","0,94","11,43","-169,18"
06MAGNA,06N,2012/Q1,"3,80","2,46","1,54","0,09","43,89","8,49","0,45","0,06","65,14","-3,82",,"8,99","1,06","12,26","154,12"
06MAGNA,06N,2012/Q2,"2,90","-0,74",,"-0,34",,"8,69","0,33","-0,05",,"-7,53",,"12,19","1,40","19,86","-233,92"
06MAGNA,06N,2012/Q3,"2,80","0,27","10,31","-0,14",,"6,74","0,42","-0,01",,"-5,50",,"9,33","1,38","18,33","-919,99"
06MAGNA,06N,2012/Q4,"2,30","0,41","5,57","0,06","37,32","3,98","0,58","-0,12",,"-0,27",,"3,82","0,96","12,09","-31,01"
06MAGNA,06N,2013/Q1,"1,90","0,30","6,30","-0,35",,"2,66","0,71","-0,18",,"0,44","4,31","3,45","1,30","12,27","-19,01"
06MAGNA,06N,2013/Q2,"2,00","4,08","0,49","3,84","0,52","1,25","1,60","-0,30",,"3,91","0,51","-0,05","-0,04","-0,46","0,17"
06MAGNA,06N,2013/Q3,"2,00","4,73","0,42","-0,78",,"-0,16",,"-0,58",,"4,48","0,45","0,68",,"-2,77","-1,17"
06MAGNA,06N,2013/Q4,"2,30","5,16","0,45","-0,31",,"0,00",,"-0,51",,"3,82","0,60","2,29",,"-8,12","-4,44"
06MAGNA,06N,2014/Q1,"2,12","4,09","0,52","-1,22",,"0,03","64,30","-0,46",,"2,57","0,82","2,17","65,83","-6,59","-4,72"
06MAGNA,06N,2014/Q2,"2,15","3,98","0,54","-5,24",,"0,06","34,33","-0,45",,"2,56","0,84","2,17","34,57","-5,87","-4,77"
06MAGNA,06N,2014/Q3,"1,95","4,00","0,49","-0,69",,"0,11","18,37","-0,38",,"2,55","0,76","1,99","18,76","-6,22","-5,26"
06MAGNA,06N,2014/Q4,"1,82","3,69","0,49","-1,42",,"0,18","9,96","-0,28",,"1,87","0,98","1,93","10,58","-8,56","-6,85"
06MAGNA,06N,2015/Q1,"1,89","3,61","0,52","-0,48",,"0,35","5,40","-0,33",,"2,22","0,85","1,92","5,49","-6,95","-5,76"
06MAGNA,06N,2016/Q4,"0,76","1,67","0,46","-1,94",,"0,23","3,37","-0,32",,"0,72","1,06","0,84","3,73","-3,08","-2,63"
06MAGNA,06N,2017/Q1,"0,54","1,64","0,33","-1,88",,"0,04","15,25","-0,28",,"0,72","0,75","0,62","17,37","-2,64","-2,21"
06MAGNA,06N,2017/Q2,"0,28","1,62","0,17","-1,78",,"0,06","4,47","-0,19",,"1,33","0,21","0,26","4,07","-1,66","-1,31"
06MAGNA,06N,2017/Q3,"0,28","1,61","0,17","-1,81",,"0,05","5,44","-0,16",,"0,28","1,00","0,28","5,43","-2,29","-1,78"
06MAGNA,06N,2017/Q4,"0,37","1,82","0,20","0,12","3,09","0,17","2,19","-0,11",,"-0,01",,"0,36","2,14","-5,70","-3,18"
06MAGNA,06N,2018/Q1,"0,27","1,84","0,15","0,16","1,67","0,28","0,96","-0,09",,"0,42","0,65","0,25","0,90","-9,09","-2,76"
06MAGNA,06N,2018/Q2,"0,30","1,72","0,17","0,14","2,13","0,37","0,81","-0,12",,"-0,05",,"0,36","0,98","-9,12","-3,15"
06MAGNA,06N,2018/Q3,"0,20","1,73","0,12","0,15","1,29","0,46","0,44","-0,10",,"-0,02",,"0,29","0,64","-18,73","-2,79"
06MAGNA,06N,2018/Q4,"0,20","1,40","0,14","-0,34",,"0,46","0,43","-0,09",,"-0,03",,"0,28","0,60","-31,56","-2,95"
06MAGNA,06N,2019/Q1,"0,20","1,40","0,14","-0,36",,"0,45","0,45","-0,08",,"-0,03",,"0,31","0,70","-26,33","-3,72"
06MAGNA,06N,2019/Q2,"0,20","1,44","0,14","-0,28",,"0,43","0,46","0,01","20,47","0,10","1,97","0,35","0,80","4,66","35,32"
06MAGNA,06N,2019/Q3,"0,20","1,49","0,13","-0,23",,"0,42","0,48","0,07","2,98","0,17","1,18","0,20","0,47","1,65","2,94"
06MAGNA,06N,2019/Q4,"0,20","1,50","0,13","0,12","1,73","0,37","0,54","0,09","2,32","-0,28",,"0,20","0,53","1,52","2,29"
06MAGNA,06N,2020/Q1,"0,20","1,67","0,12","0,29","0,68","0,35","0,58","0,32","0,62","-0,23",,"0,16","0,45","0,42","0,48"
06MAGNA,06N,2020/Q2,"0,38","1,69","0,23","0,26","1,44","0,35","1,11","0,27","1,42","0,21","1,85","0,33","0,94","1,01","1,21"
06MAGNA,06N,2020/Q3,"1,08","1,70","0,63","0,24","4,55","0,36","3,04","0,24","4,49","0,26","4,14","1,05","2,97","3,50","4,38"
06MAGNA,06N,2020/Q4,"1,55","1,80","0,86","0,27","5,64","0,56","2,78","0,45","3,44","0,47","3,33","1,41","2,53","2,75","3,14"
06MAGNA,06N,2021/Q1,"2,92","1,75","1,67","0,05","53,56","0,56","5,20","0,16","18,30","0,44","6,57","2,83","5,03","12,70","17,71"
06MAGNA,06N,2021/Q2,"2,40","1,83","1,31","0,12","20,49","0,57","4,21","0,26","9,18","0,44","5,44","2,50","4,39","7,73","9,57"
06MAGNA,06N,2021/Q3,"3,20","2,01","1,59","0,14","23,66","0,57","5,61","0,27","11,72","0,57","5,59","3,34","5,85","9,98","12,23"
06MAGNA,06N,2021/Q4,"2,69","2,03","1,32","0,09","31,42","0,43","6,30","0,10","27,78","0,70","3,84","2,80","6,55","17,61","28,90"
06MAGNA,06N,2022/Q1,"3,93","2,01","1,95","0,11","37,22","0,44","9,00","0,10","37,53","0,69","5,72","4,07","9,31","24,46","38,85"
06MAGNA,06N,2022/Q2,"3,30","1,98","1,66","-0,00",,"0,45","7,26","-0,04",,"0,19","17,16","3,44","7,58","183,52","-80,77"
06MAGNA,06N,2022/Q3,"2,60","1,95","1,33","-0,07",,"0,47","5,53","-0,11",,"0,16","16,10","2,80","5,96","-53,38","-24,37"
06MAGNA,06N,2022/Q4,"3,87","1,80","2,14","-0,04",,"0,45","8,56","-0,17",,"0,78","4,97","3,81","8,44","-32,91","-21,77"
06MAGNA,06N,2023/Q1,"3,75","1,76","2,13","-0,07",,"0,46","8,09","-0,19",,"0,70","5,33","3,83","8,27","-30,09","-20,58"
06MAGNA,06N,2023/Q2,"5,08","6,91","0,74","5,12","0,99","0,46","11,10","6,21","0,82","6,02","0,84","5,17","11,30","0,83","0,83"
06MAGNA,06N,2023/Q3,"4,00","6,86","0,58","5,10","0,78","0,49","8,23","6,12","0,65","5,70","0,70","-0,26","-0,54","-0,04","-0,04"
06MAGNA,06N,2023/Q4,"3,78","6,73","0,56","4,92","0,77","0,51","7,41","5,84","0,65","5,34","0,71","2,07","4,05","0,35","0,35"
06MAGNA,06N,2024/Q1,"3,15","6,98","0,45","5,22","0,60","0,60","5,24","6,17","0,51","4,86","0,65","2,33","3,88","0,37","0,38"
