Ticker,Nazwa,Kwartały,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
06N,06MAGNA,2004/Q4,"4,09%","2,78%","8,80%","4,99%","8,80%","8,80%",,"4,91%"
06N,06MAGNA,2005/Q4,"1,34%","0,89%","-11,43%","35,75%","-11,43%","-11,43%",,"-0,28%"
06N,06MAGNA,2006/Q1,"1,24%","0,85%","14,68%","-21,17%","14,68%","14,68%",,"-0,59%"
06N,06MAGNA,2006/Q2,"1,61%","1,06%","-94,65%","240,18%","-94,65%","-374,52%",,"-0,42%"
06N,06MAGNA,2006/Q3,"25,49%","9,95%","144,43%","192,65%","144,43%","127,08%",,"7,46%"
06N,06MAGNA,2006/Q4,"24,88%","12,09%","-124,00%","389,46%","-123,63%","-124,00%",,"-3,85%"
06N,06MAGNA,2007/Q1,"23,84%","11,89%","-127,21%","412,03%","-126,79%","-127,21%",,"-3,67%"
06N,06MAGNA,2007/Q2,"23,86%","17,00%","-246,62%","653,01%","-245,96%","-246,62%",,"-6,42%"
06N,06MAGNA,2007/Q3,"-1,42%","-1,06%","271,11%","15,05%","270,86%","271,11%",,"-19,12%"
06N,06MAGNA,2007/Q4,"-87,55%","-15,78%","29,30%","-85,59%","28,08%","29,30%",,"5,40%"
06N,06MAGNA,2008/Q1,"-103,09%","-19,44%","33,63%","-85,75%","32,75%","33,63%",,"7,62%"
06N,06MAGNA,2008/Q2,"-28,19%","-9,48%","7,15%","-11,40%","3,40%","6,29%","13,60%","5,94%"
06N,06MAGNA,2008/Q3,"4,06%","1,63%","10,02%","1,35%","3,50%","9,85%","15,66%","12,05%"
06N,06MAGNA,2008/Q4,"22,28%","8,68%","5,56%","4,87%","1,85%","6,17%","13,41%","9,90%"
06N,06MAGNA,2009/Q1,"19,50%","8,00%","4,65%","4,59%","2,12%","5,96%","13,22%","8,11%"
06N,06MAGNA,2009/Q2,"16,02%","5,60%","5,19%","3,97%","3,93%","5,82%","15,18%","7,32%"
06N,06MAGNA,2009/Q3,"3,36%","1,10%","2,02%","0,75%","2,96%","0,62%","14,32%","2,95%"
06N,06MAGNA,2009/Q4,"0,44%","0,15%","2,98%","0,11%","3,87%","0,68%","17,18%","3,84%"
06N,06MAGNA,2010/Q1,"-12,42%","-3,95%","-0,45%","-3,44%","0,95%","-4,84%","16,88%","-0,51%"
06N,06MAGNA,2010/Q2,"-26,35%","-7,66%","-6,06%","-7,51%","-4,56%","-10,17%","13,42%","-6,18%"
06N,06MAGNA,2010/Q3,"-30,50%","-9,16%","-11,27%","-9,84%","-10,00%","-13,04%","9,88%","-10,49%"
06N,06MAGNA,2010/Q4,"-125,25%","-26,76%","-36,83%","-27,31%","-18,00%","-39,49%","4,21%","-36,09%"
06N,06MAGNA,2011/Q1,"-115,74%","-20,99%","-36,51%","-27,72%","-17,18%","-39,32%","4,76%","-27,65%"
06N,06MAGNA,2011/Q2,"-97,17%","-17,69%","-34,88%","-27,05%","-15,12%","-37,81%","7,12%","-22,81%"
06N,06MAGNA,2011/Q3,"-89,54%","-16,13%","-30,11%","-25,55%","-9,33%","-34,45%","11,72%","-19,01%"
06N,06MAGNA,2011/Q4,"-30,90%","-4,88%","-0,56%","-7,13%","-2,49%","-6,85%","13,84%","-0,38%"
06N,06MAGNA,2012/Q1,"3,51%","0,72%","0,69%","1,02%","-1,26%","1,86%","14,81%","0,48%"
06N,06MAGNA,2012/Q2,"45,31%","-2,72%","-0,60%","-3,88%","1,14%","-4,74%","15,95%","-0,42%"
06N,06MAGNA,2012/Q3,"-51,96%","-1,44%","-0,15%","-2,09%","0,73%","-3,03%","14,89%","-0,10%"
06N,06MAGNA,2012/Q4,"14,93%","0,81%","-3,09%","1,55%","-5,11%","1,28%","8,64%","-1,61%"
06N,06MAGNA,2013/Q1,"-116,88%","-4,69%","-6,82%","-13,24%","-9,32%","-14,08%","5,42%","-2,42%"
06N,06MAGNA,2013/Q2,"94,03%","69,73%","-23,72%","306,31%","-33,57%","333,38%","-10,41%","-5,40%"
06N,06MAGNA,2013/Q3,"-16,40%","-15,82%","365,30%","491,99%","354,19%","350,64%","228,60%","-11,75%"
