ticker,name,adress
06N,06MAGNA,https://www.biznesradar.pl/notowania/06N
08N,08OCTAVA,https://www.biznesradar.pl/notowania/OCTAVA
11B,11BIT,https://www.biznesradar.pl/notowania/11-BIT-STUDIOS
1AT,ATAL,https://www.biznesradar.pl/notowania/ATAL
3RG,3RGAMES,https://www.biznesradar.pl/notowania/3RG
4MS,4MASS,https://www.biznesradar.pl/notowania/4MS
AAT,ALTA,https://www.biznesradar.pl/notowania/AAT
ABE,ABPL,https://www.biznesradar.pl/notowania/ABE
ABS,ASSECOBS,https://www.biznesradar.pl/notowania/ASSECO-BUSINESS-SOLUTIONS
ACG,ACAUTOGAZ,https://www.biznesradar.pl/notowania/ACG
ACP,ASSECOPOL,https://www.biznesradar.pl/notowania/ASSECO-POLAND
ACT,ACTION,https://www.biznesradar.pl/notowania/ACTION
ADV,ADIUVO,https://www.biznesradar.pl/notowania/ADIUVO-INVESTMENT
AGO,AGORA,https://www.biznesradar.pl/notowania/AGORA
AGT,AGROTON,https://www.biznesradar.pl/notowania/AGROTON
ALE,ALLEGRO,https://www.biznesradar.pl/notowania/ALE
ALG,AIGAMES,https://www.biznesradar.pl/notowania/ALG
ALI,ALTUS,https://www.biznesradar.pl/notowania/ALTUS
ALL,AILLERON,https://www.biznesradar.pl/notowania/ALL
ALR,ALIOR,https://www.biznesradar.pl/notowania/ALIOR-BANK
AMB,AMBRA,https://www.biznesradar.pl/notowania/AMBRA
AMC,AMICA,https://www.biznesradar.pl/notowania/AMICA
ANR,ANSWEAR,https://www.biznesradar.pl/notowania/ANR
APE,APSENERGY,https://www.biznesradar.pl/notowania/APS-ENERGIA
APL,AMPLI,https://www.biznesradar.pl/notowania/APL
APN,APLISENS,https://www.biznesradar.pl/notowania/APLISENS
APR,AUTOPARTN,https://www.biznesradar.pl/notowania/APR
APT,APATOR,https://www.biznesradar.pl/notowania/APATOR
ARH,ARCHICOM,https://www.biznesradar.pl/notowania/ARH
ARL,ARLEN,https://www.biznesradar.pl/notowania/ARL
ART,ARTIFEX,https://www.biznesradar.pl/notowania/ARTIFEX
ASB,ASBIS,https://www.biznesradar.pl/notowania/ASBISC
ASE,ASSECOSEE,https://www.biznesradar.pl/notowania/ASSECO-SOUTH-EASTERN-EUROPE
AST,ASTARTA,https://www.biznesradar.pl/notowania/ASTARTA
ATC,ARCTIC,https://www.biznesradar.pl/notowania/ARCTIC-PAPER
ATD,ATENDE,https://www.biznesradar.pl/notowania/ATENDE
ATG,ATMGRUPA,https://www.biznesradar.pl/notowania/ATM-GRUPA
ATP,ATLANTAPL,https://www.biznesradar.pl/notowania/ATLANTA-POLAND
ATR,ATREM,https://www.biznesradar.pl/notowania/ATREM
ATS,ATLANTIS,https://www.biznesradar.pl/notowania/ATS
ATT,GRUPAAZOTY,https://www.biznesradar.pl/notowania/ATT
AWM,AIRWAY,https://www.biznesradar.pl/notowania/AIRWAY-MEDIX
B24,BRAND24,https://www.biznesradar.pl/notowania/B24
BBD,BBIDEV,https://www.biznesradar.pl/notowania/BBI-DEVELOPMENT
BBT,BOOMBIT,https://www.biznesradar.pl/notowania/BBT
BCM,BETACOM,https://www.biznesradar.pl/notowania/BETACOM
BCS,BIGCHEESE,https://www.biznesradar.pl/notowania/BCS
