Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem
11-BIT-STUDIOS,2009,,0.0,0.0,,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11-BIT-STUDIOS,2010,,56.0,0.0,,2.0,,0.0,0.0,54.0,1296.0,457.0,71.0,732.0,732.0,36.0,0.0,1352.0,1268.0,187.0,0.0,1312.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,63.0,16.0,21.0,1352.0
11-BIT-STUDIOS,2011,,87.0,54.0,,0.0,,0.0,0.0,33.0,2899.0,1109.0,443.0,1299.0,1299.0,48.0,0.0,2986.0,2561.0,187.0,0.0,1312.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,306.0,245.0,119.0,2986.0
11-BIT-STUDIOS,2012,,96.0,30.0,0.0,7.0,,52.0,0.0,7.0,7241.0,2558.0,1215.0,3466.0,3466.0,2.0,0.0,7337.0,6914.0,222.0,0.0,5348.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,238.0,165.0,185.0,7337.0
11-BIT-STUDIOS,2013,,590.0,467.0,0.0,63.0,,52.0,0.0,8.0,8123.0,3442.0,917.0,3741.0,3741.0,23.0,0.0,8713.0,7922.0,222.0,0.0,6692.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,284.0,192.0,507.0,8713.0
11-BIT-STUDIOS,2014,,1745.0,1444.0,0.0,104.0,,52.0,5.0,140.0,19770.0,4295.0,7252.0,7644.0,7644.0,579.0,0.0,21515.0,17005.0,222.0,0.0,7701.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,2128.0,1880.0,2382.0,21515.0
11-BIT-STUDIOS,2015,,7068.0,6388.0,0.0,438.0,,0.0,0.0,242.0,25750.0,0.0,2717.0,22971.0,22971.0,62.0,0.0,32818.0,28676.0,222.0,0.0,16936.0,0.0,571.0,1633.0,0.0,0.0,0.0,571.0,3571.0,1938.0,0.0,32818.0
11-BIT-STUDIOS,2016,,9490.0,7921.0,0.0,780.0,,0.0,0.0,789.0,36159.0,0.0,5453.0,29114.0,29114.0,331.0,1261.0,45649.0,42126.0,222.0,0.0,25406.0,0.0,444.0,1929.0,0.0,0.0,0.0,444.0,3079.0,1150.0,0.0,45649.0
11-BIT-STUDIOS,2017,,17174.0,13068.0,0.0,814.0,,0.0,3054.0,238.0,31476.0,0.0,3006.0,28176.0,28176.0,294.0,0.0,48650.0,46223.0,229.0,0.0,37915.0,0.0,763.0,1198.0,0.0,0.0,0.0,763.0,1664.0,466.0,0.0,48650.0
11-BIT-STUDIOS,2018,,41317.0,17138.0,0.0,18734.0,,0.0,5094.0,351.0,67946.0,0.0,16398.0,51251.0,24251.0,297.0,0.0,109263.0,89912.0,229.0,0.0,46202.0,0.0,12018.0,5123.0,1452.0,0.0,0.0,678.0,7333.0,758.0,0.0,109263.0
11-BIT-STUDIOS,2019,,49815.0,24871.0,0.0,24388.0,344.0,0.0,0.0,556.0,105853.0,12.0,23192.0,82211.0,14883.0,438.0,0.0,155668.0,119740.0,229.0,0.0,83752.0,0.0,11262.0,11430.0,1304.0,0.0,13.0,497.0,24666.0,11919.0,0.0,155668.0
11-BIT-STUDIOS,2020,,70398.0,37860.0,0.0,30893.0,4003.0,0.0,0.0,1645.0,115942.0,0.0,19225.0,96133.0,24134.0,584.0,0.0,186340.0,164648.0,236.0,0.0,99428.0,0.0,10469.0,9792.0,1357.0,0.0,13.0,635.0,11223.0,61.0,0.0,186340.0
11-BIT-STUDIOS,2021,,90680.0,59138.0,0.0,30227.0,4281.0,0.0,258.0,1057.0,128833.0,0.0,20623.0,107458.0,26749.0,752.0,0.0,219513.0,197337.0,237.0,0.0,120468.0,0.0,8951.0,8013.0,1260.0,0.0,15.0,636.0,13225.0,3937.0,0.0,219513.0
11-BIT-STUDIOS,2022,,142547.0,99977.0,0.0,29120.0,4225.0,0.0,12767.0,683.0,101650.0,0.0,12453.0,87411.0,30586.0,1786.0,0.0,244197.0,224544.0,238.0,0.0,149153.0,0.0,9457.0,2894.0,1260.0,0.0,15.0,2301.0,10196.0,6027.0,0.0,244197.0
11-BIT-STUDIOS,2023,,191393.0,155368.0,0.0,28372.0,4169.0,0.0,5530.0,2123.0,66935.0,2.0,11546.0,54448.0,37556.0,939.0,0.0,258328.0,227065.0,242.0,0.0,190276.0,0.0,6559.0,2918.0,1260.0,0.0,15.0,665.0,24704.0,20511.0,0.0,258328.0
11-BIT-STUDIOS,2024,,169651.0,128779.0,0.0,26516.0,4113.0,0.0,5799.0,8557.0,92652.0,54.0,21081.0,70522.0,65452.0,995.0,0.0,262303.0,229919.0,242.0,0.0,196304.0,0.0,4553.0,4651.0,1260.0,0.0,15.0,106.0,27831.0,21905.0,0.0,262303.0
11-BIT-STUDIOS,2025/Q1,,175009.0,134184.0,0.0,26004.0,4098.0,0.0,6193.0,8628.0,80345.0,52.0,9314.0,69613.0,69495.0,1366.0,0.0,255354.0,223579.0,242.0,0.0,196304.0,0.0,4238.0,4291.0,1260.0,0.0,15.0,27.0,27537.0,21971.0,0.0,255354.0
